No;Id;Year;Dependen;Independen_4;Independen_1;Independen_2;Independen_3;Factor;Factor_1;Factor_2;Factor_3;Factor_4;Factor_5
1;1;1981;1.934358478;1.076923132;0;1;11;2;0;1;0;0;0
2;1;1983;2.468140364;3.019230843;0;1;12;2;0;1;0;0;0
3;1;1984;2.162479639;4.038461685;0;1;12;2;0;1;0;0;0
4;1;1985;1.746279716;5.076922894;0;0;12;2;0;1;0;0;0
5;1;1986;2.527840376;6.096153736;0;1;13;3;0;0;1;0;0
6;1;1987;2.365361452;7.5;0;1;13;3;0;0;1;0;0
7;1;1988;2.46747756;8.67307663;1;0;13;3;0;0;1;0;0
8;1;1989;4.398026943;9.442307472;1;0;13;3;0;0;1;0;0
9;1;1990;2.822143793;10.73076916;1;0;14;3;0;0;1;0;0
10;1;1991;2.654965401;11.67307663;1;0;14;4;0;0;0;1;0
11;1;1992;2.6650877;12.67307663;1;1;14;4;0;0;0;1;0
12;2;1979;2.236233234;0.942307711;0;1;13;1;1;0;0;0;0
13;2;1981;2.916388988;2.961538553;0;1;15;2;0;1;0;0;0
14;2;1982;2.751645565;3.826923132;0;0;16;2;0;1;0;0;0
15;2;1983;2.629371881;4.480769157;0;0;16;2;0;1;0;0;0
16;2;1984;2.965441704;5.538461685;0;0;16;2;0;1;0;0;0
17;2;1985;2.890669107;6.653846264;0;0;16;2;0;1;0;0;0
18;2;1989;2.392579079;11.15384579;0;0;16;3;0;0;1;0;0
19;3;1979;2.456405163;1.173076868;0;0;13;1;1;0;0;0;0
20;3;1980;2.661141634;2.115384579;0;0;13;1;1;0;0;0;0
21;3;1981;2.588284969;3.153846264;0;0;13;2;0;1;0;0;0
22;3;1982;2.424991608;4.153846264;0;0;13;2;0;1;0;0;0
23;3;1983;2.651033401;5.134615421;0;0;13;2;0;1;0;0;0
24;3;1984;2.702777386;6.134615421;0;0;13;2;0;1;0;0;0
25;3;1985;2.537407398;7.096153736;0;0;13;2;0;1;0;0;0
26;3;1986;2.624351263;8.153845787;0;0;13;3;0;0;1;0;0
27;3;1987;2.508017778;9.17307663;0;0;13;3;0;0;1;0;0
28;3;1988;2.842622519;10.51923084;0;0;13;3;0;0;1;0;0
29;3;1989;2.970910549;11.55769253;0;0;13;3;0;0;1;0;0
30;3;1993;2.278916121;15.34615421;0;0;13;4;0;0;0;1;0
31;3;1994;2.703798294;16.28846169;0;0;13;4;0;0;0;1;0
32;3;2000;3.073235273;21.13461494;0;0;13;5;0;0;0;0;1
33;4;1979;2.646631718;1.096153855;0;0;10;1;1;0;0;0;0
34;4;1981;2.824673891;2.557692289;0;0;10;2;0;1;0;0;0
35;4;1982;2.575703621;3.538461447;1;0;10;2;0;1;0;0;0
36;4;1983;2.544084549;4.480769157;1;0;10;2;0;1;0;0;0
37;4;1984;2.597272396;5.807692528;1;0;10;2;0;1;0;0;0
38;4;1985;2.85572648;6.75;1;0;10;2;0;1;0;0;0
39;4;1986;2.744797468;7.634615421;1;0;10;3;0;0;1;0;0
40;4;1987;2.936341047;9.134614944;1;0;10;3;0;0;1;0;0
41;4;1988;2.978013992;10.17307663;1;0;10;3;0;0;1;0;0
42;4;1989;3.125061274;11.05769253;1;0;10;3;0;0;1;0;0
43;4;1990;2.959109783;12.07692337;1;0;10;3;0;0;1;0;0
44;4;1991;3.031218529;12.90384579;1;0;10;4;0;0;0;1;0
45;4;1992;3.063863754;14.19230747;1;0;10;4;0;0;0;1;0
46;4;1993;3.041056156;15.03846169;1;0;10;4;0;0;0;1;0
47;5;1979;3.141184092;1.269230723;0;1;14;1;1;0;0;0;0
48;5;1980;2.305686951;2.076923132;0;1;15;1;1;0;0;0;0
49;5;1981;3.139292479;2.923076868;0;0;16;2;0;1;0;0;0
50;5;1982;3.117214203;4.038461685;0;0;16;2;0;1;0;0;0
51;5;1987;4.299777031;7.307692528;0;0;18;3;0;0;1;0;0
52;5;1993;4.958664894;12.38461494;0;0;18;4;0;0;0;1;0
53;5;1996;4.593442917;15.26923084;1;0;18;5;0;0;0;0;1
54;6;1983;1.920036077;0.807692289;0;1;12;2;0;1;0;0;0
55;6;1988;3.132784128;3.038461447;0;0;16;3;0;0;1;0;0
56;6;1989;2.788589001;4.019230843;0;0;16;3;0;0;1;0;0
57;6;1993;3.066073895;7.75;0;0;16;4;0;0;0;1;0
58;6;1994;3.040790796;8.615385056;0;0;16;4;0;0;0;1;0
59;6;1996;2.735583544;9.346154213;0;0;18;5;0;0;0;0;1
60;6;2000;3.599648237;10.61538506;0;0;18;5;0;0;0;0;1
61;7;1980;2.504137993;0.826923072;0;1;15;1;1;0;0;0;0
62;7;1981;2.421836615;1.692307711;0;0;16;2;0;1;0;0;0
63;7;1982;1.9663831;2.423076868;0;0;16;2;0;1;0;0;0
64;7;1983;2.790795565;2.884615421;0;0;16;2;0;1;0;0;0
65;7;1984;2.899301767;3.980769157;0;0;16;2;0;1;0;0;0
66;7;1985;3.095116615;4.942307472;0;0;16;2;0;1;0;0;0
67;7;1986;3.261280775;6.076922894;0;0;16;3;0;0;1;0;0
68;7;1987;3.424308538;6.942307472;0;0;16;3;0;0;1;0;0
69;7;1988;3.409447193;8.25;1;0;16;3;0;0;1;0;0
70;7;1989;3.516620636;9.230769157;1;0;16;3;0;0;1;0;0
71;7;1990;3.576239347;10.25;1;0;16;3;0;0;1;0;0
72;7;1991;3.611037016;11.25;1;0;16;4;0;0;0;1;0
73;7;1992;3.619059324;12.25;1;0;16;4;0;0;0;1;0
74;7;1993;3.589562893;13.28846169;1;0;16;4;0;0;0;1;0
75;7;1994;3.71821022;14.26923084;1;0;16;4;0;0;0;1;0
76;7;1996;3.692696333;16.17307663;1;0;16;5;0;0;0;0;1
77;7;1998;3.756678104;18.15384674;1;0;16;5;0;0;0;0;1
78;7;2000;3.924857378;20.26922989;1;0;16;5;0;0;0;0;1
79;8;1979;2.468239546;0.826923072;0;0;11;1;1;0;0;0;0
80;8;1980;2.53369689;1.576923132;0;0;11;1;1;0;0;0;0
81;8;1981;2.742435694;2.538461447;0;0;11;2;0;1;0;0;0
82;8;1982;2.799800634;3.557692289;0;0;11;2;0;1;0;0;0
83;8;1983;2.686124802;4.519230843;0;0;11;2;0;1;0;0;0
84;8;1984;2.742298126;5.211538315;0;0;12;2;0;1;0;0;0
85;8;1988;3.241111994;10;1;0;12;3;0;0;1;0;0
86;8;1989;3.362389326;10.76923084;1;0;12;3;0;0;1;0;0
87;8;1990;3.364574671;11.78846169;1;0;12;3;0;0;1;0;0
88;8;1991;3.195521593;12.51923084;1;0;12;4;0;0;0;1;0
89;8;1993;3.146016598;13.73076916;1;0;12;4;0;0;0;1;0
90;8;1994;3.224952936;15.07692337;1;0;12;4;0;0;0;1;0
91;8;1996;3.342628002;16.73077011;1;0;12;5;0;0;0;0;1
92;8;1998;3.255628109;18.90384674;1;0;12;5;0;0;0;0;1
93;9;1987;2.885146856;3.865384579;0;0;16;3;0;0;1;0;0
94;9;1988;2.835646868;4.403846264;0;1;17;3;0;0;1;0;0
95;9;1991;3.00002265;6.403846264;0;0;19;4;0;0;0;1;0
96;9;1992;2.92975688;7.346153736;1;0;19;4;0;0;0;1;0
97;9;1993;2.956224203;8.5;1;0;19;4;0;0;0;1;0
98;9;1996;2.703404665;10.23076916;1;0;19;5;0;0;0;0;1
99;9;2000;3.621175051;14.21153831;1;0;19;5;0;0;0;0;1
100;10;1980;1.973109722;0.480769217;0;1;10;1;1;0;0;0;0
101;10;1981;1.80812645;1.5;0;1;11;2;0;1;0;0;0
102;10;1982;2.123036861;2.480769157;0;1;12;2;0;1;0;0;0
103;10;1983;2.241990566;3.538461447;0;1;13;2;0;1;0;0;0
104;10;1984;2.677759647;4.519230843;0;0;14;2;0;1;0;0;0
105;10;1985;2.785423994;5.519230843;0;1;14;2;0;1;0;0;0
106;10;1986;2.709917068;6.538461685;0;1;15;3;0;0;1;0;0
107;10;1987;2.798225641;7.615384579;0;1;16;3;0;0;1;0;0
108;10;1988;2.57298255;9.07692337;0;1;17;3;0;0;1;0;0
109;10;1989;2.883899212;10.11538506;0;0;18;3;0;0;1;0;0
110;10;1990;3.20596981;11.09615421;0;0;18;3;0;0;1;0;0
111;10;1991;2.943167686;11.92307663;0;0;18;4;0;0;0;1;0
112;10;1993;2.540180922;13.92307663;1;0;18;4;0;0;0;1;0
113;10;1994;3.152632236;14.98076916;1;0;18;4;0;0;0;1;0
114;10;1996;3.373922586;16.98077011;1;0;18;5;0;0;0;0;1
115;10;1998;3.604355574;18.98077011;1;0;18;5;0;0;0;0;1
116;10;2000;3.701771736;21.28846169;1;0;18;5;0;0;0;0;1
